name,coord,bearing
вул. Бігова,"49.84067633620395, 24.092297689266818","30,100"
Бігова,"49.84129288703118, 24.096269706460426","45,105"
вул. Глинянський Тракт,"49.84196656324651, 24.101020518119935","45,100"
"Товариство ""Провесінь-агроінвест""","49.84229601003877, 24.103918422214516","40,100"
на вимогу 1,"49.843642095698485, 24.120191248826096","40,110"
на вимогу 2,"49.843047053977486, 24.13326672834119","60,115"
с. Підбірці,"49.846266604097075, 24.136984925857142","320,110"
на вимогу 3,"49.844595961752894, 24.15221743200476","55,105"
с. Підбірці (кінцева),"49.84420605846192, 24.16051437968463","360,0"
на вимогу (зворотній) 0,"49.84481735253738, 24.152192073785756","240,300"
с. Підбірці (зворотній),"49.846011040513815, 24.136901104280618","150,300"
на вимогу 1 (зворотній),"49.843117407513596, 24.13324693618832","240,300"
на вимогу 2 (зворотній),"49.84377235342851, 24.120148652746934","220,280"
"Товариство ""Провесінь-агроінвест"" (зворотній)","49.842517527858725, 24.103886526545132","220,280"
вул. Глинянський Тракт (зворотній),"49.84209179767452, 24.10089769073095","220,280"
Бігова (зворотній),"49.84144819295008, 24.096457123592874","220,280"
вул. Бігова (зворотній),"49.84071420569276, 24.091918436593424","210,280"
вул. Богданівська (зворотній),"49.8403596832106, 24.084858285603136","200,280"
вул. Дубова (зворотній),"49.83833182024411, 24.07970587134185","200,280"
на вимогу 3 (зворотній),"49.83725183615213, 24.074887075550016","230,285"
Автостанція №6 (зворотній) 0,"49.836197785318625, 24.070192649508027","150,290"
вул. Пасічна,"49.83625222340668, 24.067590781724622","250,305"
вул. Богдана Котика,"49.837315812646125, 24.06113184358303","260,315"
Шевченківський Гай,"49.8385728037345, 24.055512188260753","260,320"
Медичний університет,"49.84019657440054, 24.049031879393304","260,320"
Війсковий госпіталь,"49.84037457680515, 24.04321706160629","210,280"
пл. Митна,"49.83986918981655, 24.037890533568955","240,300"
вул. Підвальна,"49.84253998601551, 24.035200327138135","320,15"
вул. Театральна (зворотній),"49.84489235580665, 24.027642629072233","235,345"
пр. В'ячеслава Чорновола,"49.84678575181101, 24.025765332213403","330,40"
Палац культури ім. Гната Хоткевича,"49.85124851008027, 24.024416072541197","300,10"
вул. Хімічна,"49.85455477544958, 24.02296814308579","300,5"
Шевченківська райадміністрація,"49.85782210134221, 24.021303180289742","300,10"
Парк 700-річчя Львова,"49.862630181133376, 24.018686162126013","300,10"
вул. Варшавська,"49.865974086597916, 24.01701791863555","300,40"
На Нивах,"49.8655816050354, 24.01066885352413","220,275"
вул. Тунельна,"49.86284225282422, 24.00384926934749","200,260"
Петрицького,"49.86188400750858, 23.999700762212335","260,330"
вул. Винниця,"49.86206201517085, 23.992283012283682","220,280"
Янівський меморіал,"49.858907660817465, 23.986034637308954","160,260"
вул. Татарбунарська,"49.854325258439054, 23.98615994327435","120,250"
вул. Татарбунарська 1,"49.85413157542537, 23.98499050006466","270,330"
вул. Брюховицька,"49.86038312060233, 23.97014199497005","270,330"
вул. Шевченка,"49.86190630111121, 23.966344496351912","270,330"
вул. Біберовича,"49.8631235284507, 23.963565727893812","270,330"
вул. Порічкова,"49.864610158731416, 23.960025316010647","270,345"
вул. Лупшинського,"49.86659494236511, 23.956731563464494","280,350"
м/н Рясне-1,"49.86828920534329, 23.952579504005755","260,320"
вул. Стельмаха,"49.870637780364746, 23.94629786726138","270,335"
вул. Панаса Сотника,"49.87288231415675, 23.933118643576115","240,300"
Автобудівельників (зворотній),"49.87368362550626, 23.91642745055874","240,300"
с. Рясне-Руське (зворотній),"49.87392579964453, 23.907000592240383","230,300"
с. Підрясне (зворотній),"49.87568494458931, 23.880468314363327","240,320"
