name,coord,bearing
с. Підрясне,"49.87535440444523, 23.881200356101704","60,130"
с. Рясне-Руське,"49.87368676949301, 23.906848822908696","60,120"
Автобудівельників,"49.8733255041572, 23.917775409664955","60,120"
вул. Панаса Сотника (зворотній),"49.87250803363708, 23.933894208312307","65, 125"
вул. Стельмаха (зворотній),"49.87055605126465, 23.94555544998071","93, 153"
м/н Рясне-1 (зворотній),"49.8684552132438, 23.950821676102237","80,150"
вул. Лупшинського (зворотній),"49.866336994644016, 23.95652973335018","100,175"
вул. Порічкова (зворотній),"49.864324000796714, 23.960069076689532","90,150"
вул. Біберовича (зворотній),"49.86295832340182, 23.963208216726738","90,160"
вул. Шевченка (зворотній),"49.861707100256865, 23.96627949473151","90,150"
вул. Брюховицька (зворотній),"49.859892164085814, 23.970667169759587","90,160"
вул. Татарбунарська (зворотній),"49.853803373406734, 23.985315776983786","90,160"
вул. Татарбунарська 1,"49.85415660541028, 23.986568374389922","285,90"
Янівський меморіал (зворотній),"49.85879889077134, 23.98643924312733","0,70"
вул. Винниця (зворотній),"49.86204973796577, 23.99389362754076","50,120"
Петрицького (зворотній),"49.86147611499355, 24.000216655735514","50,150"
вул. Тунельна (зворотній),"49.863046641932, 24.00474413031494","20,80"
на вимогу (зворотній),"49.864559379189835, 24.00766412330652","20,90"
На Нивах (зворотній),"49.86545016028708, 24.01112174982184","30,100"
вул. Варшавська,"49.866513247114725, 24.01610279394346","35,180"
Парк 700-річчя Львова(зворотня),"49.86179460049908, 24.018597556154504","120,180"
Шевченківська райадміністрація(зворотня),"49.85787477493527, 24.020723550398923","120,180"
Шевченківська райадміністрація(зворотня) 1,"49.85613110567696, 24.021727719717823","110,190"
вул. Хімічна(зворотня),"49.85431391779151, 24.022693906590924","110,190"
вул. Пантелеймона Куліша(зворотня),"49.84943852070239, 24.025129557088878","80,180"
пр. В'ячеслава Чорновола(зворотня),"49.84544568408076, 24.025076864941205","130,195"
Театр ляльок,"49.84461520502523, 24.031453851889193","60,120"
вул. Підвальна 1,"49.84290554369953, 24.03486065851844","120,190"
пл. Митна (зворотній),"49.839756475670505, 24.037167632399417","50,130"
Війсковий госпіталь (зворотній),"49.84008245223803, 24.042745030222417","40,100"
Медичний університет (зворотній),"49.84006333581065, 24.049140769822127","80,150"
вул. Мечникова (зворотній),"49.83870641578147, 24.05397479200827","80,150"
вул. Богдана Котика (зворотній),"49.837468307498355, 24.05966718593593","75,150"
Автостанція №6 (зворотній),"49.835837207166556, 24.07071531584799","60,120"
вул. Дубова,"49.838583031990986, 24.080613940514507","20,90"
вул. Богданівська,"49.84023419006846, 24.08597299620468","40,130"
