name,coord,bearing
Винники (вул. Забава),"49.80933254827833, 24.120314975861103","185, 245"
Винники (вул. Джерельна),"49.805855332240874, 24.12077182705319","115, 145"
Винники (вул. Козацька),"49.80252801324523, 24.129742054092112","85, 125"
Винники (вул. Шептицьких),"49.80251587015116, 24.136212417183085","335, 15"
Винники (вул. Стадіон),"49.805664841484756, 24.13722468488737","340, 20"
Винники (вул. Івана Франка),"49.808980265165054, 24.138428062929115","350, 20"
Винники (вул. Стрілецька),"49.81355981983497, 24.140393581872036","330, 30"
Винники (вул. Галицька),"49.8174293106495, 24.144104578555","240, 280"
Винники (Тютюнова фабрика),"49.8170281829189, 24.1370007048565","250, 290"
Винники (Офтальмологічна поліклініка),"49.81785957657796, 24.130453712327668","165, 195"
Винниківське озеро,"49.82077949078458, 24.112578463706363","280, 330"
вул. Дріжджова,"49.83424271022215, 24.088093712818615","260, 320"
вул. Бахматюка,"49.83509474137905, 24.0837706624378","255, 315"
вул. Ялівець,"49.8359333502793, 24.07491266716717","245, 305"
Автостанція №6,"49.836151758153015, 24.07118506718873","245, 305"
вул. Пасічна,"49.83624863578955, 24.06752653408658","250, 310"
вул. Богдана Котика,"49.837397312920906, 24.06114287663219","269, 309"
Шевченківський Гай,"49.83851608152173, 24.055466004231217","263, 323"
Медичний університет,"49.84018023340132, 24.049026459839865","263, 323"
Війсковий госпіталь,"49.84038972851003, 24.043205982866272","235, 275"
пл. Митна,"49.83986491212202, 24.0379056386125","240, 300"
вул. Підвальна,"49.84250852828276, 24.035175886772496","315, 15"
вул. Театральна,"49.84496942236518, 24.027594392147844","245, 305"
пл. Різні,"49.845585171699554, 24.026027982088966","260, 320"
Театр опери та балету (зворотній),"49.84415994220356, 24.0255880998471","130, 190"
пр. Свободи (зворотній),"49.84020036566787, 24.028118511160873","115, 175"
пл. Галицька (зворотній),"49.83924549857408, 24.032538791631225","60, 120"
пл. Митна (зворотній),"49.839688337822096, 24.037130733497566","68, 108"
Війсковий госпіталь (зворотній),"49.84006889956169, 24.04276337237798","50, 90"
Медичний університет (зворотній),"49.840074546815124, 24.049130589141516","80, 140"
вул. Мечникова (зворотній),"49.83870078621251, 24.053970296650036","90, 130"
вул. Богдана Котика (зворотній),"49.837344985596275, 24.060084876416393","88, 138"
Автостанція №6 (зворотній),"49.83578029869458, 24.070716894","63, 123"
вул. Ромоданівська,"49.835844689377524, 24.072977060937056","63, 123"
вул. Ялівець (зворотній),"49.83560249291169, 24.075487608578193","63, 123"
вул. Бахматюка (зворотній),"49.834808772488365, 24.084214596663394","75, 135"
вул. Дріжджова (зворотній),"49.83391608038546, 24.08880653841848","90, 150"
 Винниківське озеро (зворотній),"49.82045036744091, 24.112645347625676","114, 174"
Винники (Офтальмологічна поліклініка) (зворотній),"49.81770379739517, 24.130591087282273","330, 30"
Винники (вул. Івасюка),"49.816516713628374, 24.135675310487724","170, 230"
Винники (вул. Стуса),"49.813793148406425, 24.1349289545246","90, 150"
 Винники (вул. Івана Франка) (зворотній),"49.80899923745756, 24.1381461534467","212, 252"
Винники (вул. Стадіон) (зворотній),"49.80537947528988, 24.136962835259702","158, 218"
Винники (вул. Шептицьких) (зворотній),"49.80237579619071, 24.13566881035329","240, 300"
Винники (вул. Козацька) (зворотній),"49.80277624967419, 24.12935080980015","270, 330"
Винники (вул. Джерельна) (зворотній),"49.80584397226944, 24.12092294538697","298, 338"
Винники (вул. Забава) (зворотній),"49.80933254827833, 24.120314975861103","300, 360"
