name,Coordinates,Degrees
Авторинок,"49.854865956014386, 24.07605831697295","120, 180"
вул. Гайдучка,"49.853373696729086, 24.077298117323444","150, 210"
Монгольська,"49.85066109201953, 24.07954501342646","65, 125"
вул. Старознесенська,"49.84923237790679, 24.083068005452205","110, 170"
вул. Духновича,"49.847082572745244, 24.081404928535598","215, 275"
Кривчиці,"49.84441718276107, 24.07394259740014","210, 270"
Шевченківський Гай 1,"49.84251457379977, 24.069571964135218","210, 270"
вул. Ніщинського,"49.83940091110311, 24.06671683324625","170, 230"
вул. Пасічна,"49.836228257113135, 24.067626420951232","250, 310"
вул. Богдана Котика,"49.837397312920906, 24.06114287663219","269, 309"
Шевченківський Гай,"49.838648890134635, 24.05549571792255","265, 325"
Медичний університет,"49.84012483909698, 24.049029084111737","260, 320"
Військовий госпіталь,"49.840306442028314, 24.043239778264784","220, 280"
пл. Митна,"49.83987753466605, 24.037952363355277","240, 300"
вул. Підвальна,"49.84250084378937, 24.03519874598037","300,40"
вул. Театральна,"49.84483959114182, 24.02774250501328","230, 310"
пр. В'ячеслава Чорновола,"49.84675624091735, 24.02574457782125","335, 35"
Палац культури ім. Гната Хоткевича,"49.85127702575775, 24.024413557261155","300, 10"
вул. Хімічна,"49.859856559121106, 24.02628143075433","310, 10"
Шевченківська райадміністрація 2,"49.85740086033078, 24.023039563628654","20, 90"
вул. Замарстинівська,"49.860608761868406, 24.027935063574997","5, 65"
вул. Бетховена,"49.86363118601455, 24.03356059968319","30, 90"
БТІ,"49.86492690862327, 24.041858055397228","50, 110"
Автостанція №2,"49.86492810553421, 24.05173296639315","65, 125"
Скейт-парк,"49.868509108682645, 24.056407192006606","0, 60"
вул. Чигиринська,"49.870668376851384, 24.05570230306208","270, 330"
вул. Грінченка(зворотня),"49.87211451204838, 24.052325691671196","260, 330"
вул. Грінченка,"49.87301664816834, 24.05082310336753","180, 240"
вул. Грінченка,"49.872382008357995, 24.05139997935604","95, 155"
вул. Чигиринська,"49.87053967853852, 24.055708882972983","90, 150"
Скейт-парк,"49.869581327240525, 24.05679192290227","180, 240"
Автостанція №2,"49.86523770988383, 24.051029188055622","245, 305"
вул. Миколайчука,"49.86533661828747, 24.043667796709983","230, 290"
БТІ,"49.86500301993268, 24.040723612027296","230, 290"
вул. Бетховена,"49.86350126534131, 24.03269804670228","210, 270"
вул. Замарстинівська,"49.85979528463006, 24.02619694244559","190, 250"
Шевченківська райадміністрація(зворотня),"49.85817265958928, 24.020686247260237","120, 190"
вул. Хімічна(зворотня),"49.85436194624659, 24.022701535745405","120, 190"
вул. Пантелеймона Куліша(зворотня),"49.84938383151753, 24.025146316754444","120, 190"
пр. В'ячеслава Чорновола(зворотня),"49.84547274614262, 24.02509003493491","120, 190"
Театр ляльок,"49.844528079596806, 24.031548567368553","68, 128"
вул. Підвальна 1,"49.84290554369953, 24.03486065851844","120,190"
пл. Митна (зворотній),"49.83975064946617, 24.037316923135513","59, 119"
Війсковий госпіталь (зворотній),"49.84011190757697, 24.04274895293832","40, 100"
Медичний університет (зворотній),"49.84001446323072, 24.049257070009475","78, 138"
вул. Мечникова (зворотній),"49.83875717576814, 24.054014702584073","83, 143"
вул. Богдана Котика (зворотній),"49.83745294799766, 24.059874574594897","77, 137"
вул. Ніщинського,"49.839410252132836, 24.06712926044457","315, 15"
Шевченківський Гай,"49.84250092042651, 24.069737777147445","25, 85"
Кривчиці,"49.844217872994385, 24.073815690671545","25, 85"
вул. Духновича,"49.84709884613592, 24.081382211645188","35, 95"
вул. Старознесенська,"49.84847228245144, 24.084415370415872","290, 350"
Монгольська,"49.85075835884529, 24.079306182795992","270, 330"
вул. Гайдучка,"49.852900914030066, 24.077573912065432","325, 25"
Авторинок,"49.855052065585255, 24.076293244992105","300, 0"
